Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
30000000.0,Nhân viên,1 năm,javascript,tiếng nhật,vi,Hà Nội,4
12000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
20000000.0,Trưởng/Phó phòng,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
15000000.0,Nhân viên,2 năm,php,Không yêu cầu,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hồ Chí Minh,2
10500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
30000000.0,Nhân viên,2 năm,typescript,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
21500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
17500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
35000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
12500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hà Nội,0
15000000.0,Nhân viên,1 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,1 năm,java,Không yêu cầu,vi,Hà Nội,0
35000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
35000000.0,Nhân viên,4 năm,Khác,tiếng anh,vi,Hà Nội,4
7500000.0,Nhân viên,Dưới 1 năm,Khác,tiếng anh,vi,Hà Nội,0
7500000.0,Nhân viên,Dưới 1 năm,Khác,tiếng anh,vi,Hà Nội,0
9500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
11000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
10000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
25000000.0,Nhân viên,3 năm,c,Không yêu cầu,vi,Hà Nội,0
25000000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,c,Không yêu cầu,vi,Hà Nội,0
25000000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
37500000.0,Trưởng nhóm,4 năm,java,Không yêu cầu,vi,Hà Nội,4
25300000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
22500000.0,Nhân viên,3 năm,c,Không yêu cầu,vi,Hà Nội,0
22500000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
22500000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hà Nội,0
22500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
11500000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,Không yêu cầu kinh nghiệm,c,Không yêu cầu,vi,Hà Nội,0
25000000.0,Nhân viên,Không yêu cầu kinh nghiệm,kotlin,Không yêu cầu,vi,Hà Nội,0
25000000.0,Nhân viên,Không yêu cầu kinh nghiệm,java,Không yêu cầu,vi,Hà Nội,0
16100000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,0
9500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hà Nội,0
34500000.0,Nhân viên,3 năm,Khác,Không yêu cầu,vi,Hà Nội,0
34500000.0,Nhân viên,4 năm,Khác,Không yêu cầu,vi,Hà Nội,0
27500000.0,Nhân viên,1 năm,python,Không yêu cầu,vi,Hà Nội,4
15000000.0,Nhân viên,1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
17500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hà Nội,0
11500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Khác,5
15000000.0,Nhân viên,Không yêu cầu kinh nghiệm,python,Không yêu cầu,vi,Hồ Chí Minh,2
26000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
12000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
17500000.0,Trưởng nhóm,2 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
25000000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hà Nội,0
15000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
