Salary,Level,Year of Experience,Programming Language,Requirement Language,Description Language,Location,Cluster
13500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
18000000.0,Quản lý / Giám sát,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
4000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
2500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
22500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
16500000.0,Nhân viên,Không yêu cầu kinh nghiệm,python,tiếng anh,vi,Hồ Chí Minh,2
11500000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
12500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
7000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
8000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
18500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
10500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
22500000.0,Nhân viên,2 năm,c++,Không yêu cầu,vi,Hồ Chí Minh,2
22500000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hồ Chí Minh,2
22500000.0,Nhân viên,2 năm,c#,Không yêu cầu,vi,Hồ Chí Minh,2
20000000.0,Trưởng nhóm,3 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
8500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
11000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
8000000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
11500000.0,Nhân viên,Dưới 1 năm,php,tiếng anh,vi,Hồ Chí Minh,2
11500000.0,Nhân viên,Dưới 1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
7500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
18500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
12500000.0,Nhân viên,1 năm,php,tiếng anh,vi,Hồ Chí Minh,2
12500000.0,Nhân viên,1 năm,javascript,tiếng anh,vi,Hồ Chí Minh,2
9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,python,tiếng anh,vi,Hồ Chí Minh,2
9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,php,tiếng anh,vi,Hồ Chí Minh,2
22500000.0,Nhân viên,Không yêu cầu kinh nghiệm,python,Không yêu cầu,vi,Hồ Chí Minh,2
22500000.0,Nhân viên,Không yêu cầu kinh nghiệm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
17500000.0,Nhân viên,1 năm,php,Không yêu cầu,vi,Hồ Chí Minh,2
25500000.0,Trưởng nhóm,3 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
9500000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
13500000.0,Quản lý / Giám sát,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,tiếng anh,vi,Hồ Chí Minh,2
11500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
30000000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hồ Chí Minh,2
30000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
17000000.0,Nhân viên,2 năm,python,Không yêu cầu,vi,Hồ Chí Minh,2
17000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
16500000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
10500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
9000000.0,Nhân viên,Dưới 1 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
26500000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hồ Chí Minh,2
10000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
3500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
26000000.0,Nhân viên,Trên 5 năm,php,Không yêu cầu,vi,Hồ Chí Minh,2
26000000.0,Nhân viên,Trên 5 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
12000000.0,Nhân viên,1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
8500000.0,Nhân viên,Dưới 1 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
16500000.0,Nhân viên,3 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
16500000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
19000000.0,Nhân viên,Dưới 1 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
19000000.0,Nhân viên,Dưới 1 năm,java,Không yêu cầu,vi,Hồ Chí Minh,2
17500000.0,Trưởng nhóm,4 năm,php,Không yêu cầu,vi,Hồ Chí Minh,2
15000000.0,Nhân viên,1 năm,Khác,tiếng anh,vi,Hồ Chí Minh,2
12500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,python,Không yêu cầu,vi,Hồ Chí Minh,2
9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,c#,Không yêu cầu,vi,Hồ Chí Minh,2
9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
2000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
14000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
36000000.0,Nhân viên,5 năm,c#,tiếng anh,vi,Hồ Chí Minh,2
14500000.0,Nhân viên,3 năm,c#,Không yêu cầu,vi,Hồ Chí Minh,2
14500000.0,Nhân viên,3 năm,javascript,Không yêu cầu,vi,Hồ Chí Minh,2
17000000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
15500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
35000000.0,Nhân viên,2 năm,java,Không yêu cầu,vi,Hồ Chí Minh,2
1500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
13500000.0,Nhân viên,2 năm,Khác,Không yêu cầu,vi,Hồ Chí Minh,2
