Salary,Level,Year of Experience,Programming Language,Language,Lang,Location,Cluster
18500000.0,Nhân viên,1 năm,Khác,tiếng nhật,vi,Hà Nội,4
22500000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
23500000.0,Nhân viên,3 năm,Khác,tiếng anh,vi,Hà Nội,4
17000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,2 năm,javascript,tiếng anh,vi,Hà Nội,4
25000000.0,Trưởng/Phó phòng,3 năm,javascript,tiếng anh,vi,Hà Nội,4
26500000.0,Nhân viên,4 năm,dart,tiếng anh,vi,Hà Nội,4
15000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
24000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
14000000.0,Nhân viên,1 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,java,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,3 năm,kotlin,Không yêu cầu,vi,Hà Nội,4
28750000.0,Nhân viên,4 năm,php,Không yêu cầu,vi,Hà Nội,4
30000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
18500000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
4000000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,Khác,tiếng nhật,vi,Hà Nội,4
15000000.0,Nhân viên,1 năm,Khác,tiếng nhật,vi,Hà Nội,4
19000000.0,Nhân viên,2 năm,javascript,Không yêu cầu,vi,Hà Nội,4
19000000.0,Nhân viên,2 năm,typescript,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,2 năm,Khác,tiếng anh,vi,Hà Nội,4
20000000.0,Nhân viên,Dưới 1 năm,php,Không yêu cầu,vi,Hà Nội,4
3500000.0,Thực tập sinh,Không yêu cầu kinh nghiệm,python,Không yêu cầu,vi,Hà Nội,4
25000000.0,Nhân viên,2 năm,java,tiếng anh,vi,Hà Nội,4
25000000.0,Nhân viên,1 năm,javascript,Không yêu cầu,vi,Hà Nội,4
