,Title,Link,Company,Size company,Salary,Locations,Level,Year of Experience,Contract Type,Sex,Skills
1248,Senior Golang Developer,https://www.topcv.vn/viec-lam/senior-golang-developer/959740.html?ta_source=ITJobs_LinkDetail,Công ty cổ phần AppotaPay,25-99 nhân viên,Tới 35 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Nam,"Có kiến thức về phân tích thiết kế hệ thống.
Có kinh nghiệm làm việc với Golang ít nhất 2 năm.
Nắm được các kiến thức về testing, viết unit test.
Sử dụng thành thạo SQL database(Mysql) & một số NoSQL thông dụng khác (mongodb, redis,...)
Biết sử dụng Docker để tạo môi trường dev, đóng gói application
Nắm được các kiến thức về bảo mật: các lỗi bảo mật & cách phòng tránh"
1249,Chuyên Viên Kiểm Thử Phần Mềm (Tester),https://www.topcv.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester/1217684.html?ta_source=ITJobs_LinkDetail,Tổng Công Ty Bưu Điện Việt Nam,1000+ nhân viên,17 - 35 triệu,Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Kiến thức/Kinh nghiệm: - Yêu cầu tối thiểu 3 năm kinh nghiệm làm việc trong các dự án phát triển ứng dụng/web với vai trò Tester hoặc BA.- Đã có bằng Cao đẳng/Đại học chuyên ngành Điện tử - Viễn thông, CNTT hệ chính quy trở lên.Kỹ năng làm việc: - Có kinh nghiệm phát triển test plan, test case, report.- Có kinh nghiệm làm Automation Test (API, Web, Mobile, Performance, Security ...)- Có kinh nghiệm làm việc với các mô hình quản lý dự án: Agile scrum, Waterfall- Thành thạo sử dụng các công cụ test: Postman, JMeter ...- Nắm chắc các kiến thức Testing cơ bản"
1250,Quản Trị Viên Cơ Sở Dữ Liệu (DBA),https://www.topcv.vn/viec-lam/quan-tri-vien-co-so-du-lieu-dba/1217697.html?ta_source=ITJobs_LinkDetail,Tổng Công Ty Bưu Điện Việt Nam,1000+ nhân viên,30 - 50 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Kiến thức/Kinh nghiệm: - Có ít nhất 02 năm kinh nghiệm phát triển dự án phần mềm, đặc biệt là trong lĩnh vực dịch vụ số, tài chính ngân hàng, trung gian thanh toán và fintech.- Tốt nghiệp Đại học chính quy chuyên ngành Hệ thống thông tin, Khoa học máy tính, Công nghệ thông tin;Kỹ năng làm việc: - Có kỹ năng lập trình T-SQL, PL/SQL;- Có kiến thức chuyên môn tốt về Performance và Tuning, Data models, Data Structure, các hệ quản trị CSDL (MariaDB, PostgreSQL, MongoDB, OracleDB...);- Khả năng đọc hiểu tài liệu tiếng anh tốt, giao tiếp cơ bản; Ưu tiên các ứng viên:- Có chứng chỉ chuyên ngành: OCA, OCP, OCM, MCTS, MCITP, MCM...;- Có kinh nghiệm xây dựng các giải pháp và quản trị ít nhất một hệ cơ sở dữ liệu."
1251,Technical Support Engineer (IT Background),https://www.topcv.vn/viec-lam/technical-support-engineer-it-background/1255319.html?ta_source=ITJobs_LinkDetail,Công ty TNHH ITECHWX,100-499 nhân viên,"800 - 1,200 USD",Hồ Chí Minh,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Proficient in English (4 skills) Available for night shifts At least 6 months of experience (Freshers are welcome with a good learning ability and working attitude) Experience or knowledge in SQL or Basic programming language skills is a must Customer service mindset
1252,Senior Java Developer,https://www.topcv.vn/viec-lam/senior-java-developer/850850.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH CÔNG NGHỆ VIHAT,100-499 nhân viên,25 - 45 triệu,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"– Có kiến thức/ kinh nghiệm về Java framework, RestAPI và thiết kế cơ sở dữ liệu (MSSQL/MySQL/PostgresQL/MongoDB)– Kiến thức về MVC, OOP, có hiểu biết về các Design Pattern– Có thể làm việc độc lập hoặc với một nhóm theo yêu cầu– Tinh thần trách nhiệm cao, cần thận và tỉ mỉ trong công việc– Khả năng học hỏi và research nhanh"
1253,Mobile Developer (React Native),https://www.topcv.vn/viec-lam/mobile-developer-react-native/718310.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Vũ Gia Software VN,25-99 nhân viên,Tới 15 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Có ít nhất 01 năm kinh nghiệm lập trình ứng dụng trên mobile với React Native. Ứng viên chưa có kinh nghiệm sẽ được đào tạo.Có kiến thức về iOS và Android.Có kiến thức về html, javascript, css, typescript Đã có kinh nghiệm release App lên Store/CHPlay hoặc có app trên store.Kinh nghiệm tích hợp các RESTful API, Web service, Web socket và các SDK, thư viện trong quá trình phát triển ứng dụng.Có thể Đọc, hiểu tiếng Anh (trong các trường hợp thực hiện các dự án làm việc với khách hàng nước ngoài)Có kinh nghiệm làm việc với các tool quản lý giao việc: Trello, Jira, Redmine....Thái độ làm việc tốt, có trách nhiệm trong công việc."
1254,QC Engineers (Tester),https://www.topcv.vn/viec-lam/qc-engineers-tester/1256991.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH BACOOR VIỆT NAM,25-99 nhân viên,15 - 25 triệu,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"At least 1+ years experience of testing web-based and mobile applications.Experience in test Web Services and APIs.Experience in testing UI and UX.Good knowledge with Agile Development Process, Solid knowledge and hands-on experience applying Scrum.Experience in writing clear and concise test plans, test cases, test evidences, bug reports.Experience of producing clear, concise and meaningful test statistic reporting.Proactive, great attention to detail, results-oriented problem solver, and ability to meet aggressive deadlines.Experience in automation testing is a plus.Other skillsGood sense of teamwork, responsibility and initiative;Able to work in a team and independently, quick learner;Good organizational, analytical and problem-solving skillsExperience in working on cross-department/ locations by communicating and negotiating with multiple teams/locations to accomplish goals;Thorough understanding of software development life cycles;Advanced of testing methodologies, testing process, quality models, standards;Smart and proactive characteristic;Willing to take challenges and “can do” attitude;"
1255,Data Analyst (Games),https://www.topcv.vn/viec-lam/data-analyst-games/1250090.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN IKAME VIỆT NAM,100-499 nhân viên,Tới 0.0 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Nam,"Bachelor's degree in Data Science, Statistics, Computer Science, or a related field.Strong proficiency in SQL and Python is required, and experience working with large datasets is a bonus.Experience with data visualization tools such as Tableau, Power BI, or Google Data Studio.Knowledge of data mining techniques and algorithmsAttention to detail, a commitment to quality work, and the ability to multitask.Have mathematical background: knowledge of probability theory and applied statistics at a college-degree level2+ years of experience in data analysis, preferably in a product or marketing analytics role.Strong analytical and problem-solving skills with the ability to communicate complex data insights to non-technical stakeholders.Experience with cross-functional interaction and the ability to communicate comfortably in business terms"
1256,Data Engineer,https://www.topcv.vn/viec-lam/data-engineer/1250091.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN IKAME VIỆT NAM,100-499 nhân viên,"Tới 1,000 USD",Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Required SkillsExperience with process and store large volumes of data.Knowledge of programming languages such as Python and Java. Write efficient and scalable code.Experience with data modeling and database design.Familiarity with cloud computing platforms such as AWS, Azure, and Google Cloud. In particular, experience with Google Cloud Platform (GCP) is a plus.Understanding of data warehousing and ETL processes. Deep understanding of data warehousing concepts and ETL processes.Experience with tools for monitoring and scheduling jobs, such as Airflow.Experience with data visualization tools such as Tableau, PowerBI, or similar is plus.Having experience with container orchestration tools such as Docker and Kubernetes is a plus.QualificationsBachelor's degree in Computer Science, Information Technology, or related field. Data engineers should have a strong educational background in computer science, information technology, or a related field.At least 1 years of experience in a similar role. Experience in designing, developing, and maintaining data systems and solutions.Strong problem-solving and analytical skillsExcellent communication and teamwork skills.Ability to work in a fast-paced and dynamic environment.Strong attention to detail, self-motivated, and responsible."
1257,Nhân Viên Phân Tích Thiết Kế - Business Analyst,https://www.topcv.vn/viec-lam/nhan-vien-phan-tich-thiet-ke-business-analyst/159946.html?ta_source=ITJobs_LinkDetail,Công Ty Cổ phần Định Gia Nét,100-499 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Độ tuổi 22 – 30 tuổi
- Tốt nghiệp Đại học, Cao đẳng các chuyên ngành về Tin học quản lý, Hệ thống thông tin quản lý, Công nghệ thông tin......
- Có kiến thức về cấu trúc dữ liệu và giải thuật.
- Có kiến thức về hệ quản trị cơ sở dữ liệu như: Microsoft SQL server, Visio"
1258,Marketing Analyst ( Ads & SEO Expert),https://www.topcv.vn/viec-lam/marketing-analyst-ads-seo-expert/1264982.html?ta_source=ITJobs_LinkDetail,"CHUSVN CO., LTD",25-99 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Proficiency in digital marketing tools and techniques.Strong analytical skills to leverage data-driven insights.Work experience as a Marketing Analyst or similar roleExpertise in Google AnalyticsIn-depth understanding of SEM campaign strategies and SEO practicesExperience with PPC campaignsGood knowledge of MS ExcelExperience with A/B and multivariate experimentsAnalytical abilitiesBSc in Marketing or relevant field
1259,Nhân Viên Triển Khai Nhân Sự,https://www.topcv.vn/viec-lam/nhan-vien-trien-khai-nhan-su/475000.html?ta_source=ITJobs_LinkDetail,Công Ty Cổ phần Định Gia Nét,100-499 nhân viên,Thoả thuận,"Hà Nội, Hồ Chí Minh",Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp Đại học, Cao đẳng chuyên ngành Nhân sự - tiền lương, Công nghệ Thông tin, Hệ thống thông tin- Khả năng giao tiếp, nắm bắt công việc tốt.- Thích hướng ngoại, mở rộng mối quan hệ công việc- Sẵn sàng đi đến doanh nghiệp khi công việc yêu cầu- Đam mê, yêu thích công việc-Có kinh nghiệm làm triển khai phần mềm HR là một lợi thế lớn khi phỏng vấn"
1260,Lập Trình Viên Java (Spring Boot) Full-Time,https://www.topcv.vn/viec-lam/lap-trinh-vien-java-spring-boot-full-time/1324899.html?ta_source=ITJobs_LinkDetail,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ VIỆT NAM,25-99 nhân viên,15 - 25 triệu,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Tối thiểu 2 năm kinh nghiệm lập trình bằng ngôn ngữ Java sử dụng framework Spring Boot.Nắm vững kiến thức về OOP, Design Pattern, giao tiếp mạng, multi-threading.Có kinh nghiệm sử dụng ít nhất 1 hệ quản trị cơ sở dữ liệu MySQL, PostgreSQL, Oracle.Nắm chắc kiến thức về thiết kế, chuẩn hóa, tối ưu Database và câu lệnh SQL.Có kinh nghiệm về hệ điều hành Linux. Có kinh nghiệm làm việc với NoSQL, hệ thống Cluster, Caching, MQ, Webhook là một lợi thế.Sử dụng tốt Git.Đề cao tính chủ động và trách nhiệm trong công việc, ý thức chất lượng sản phẩm tốt.Đam mê tìm tòi nghiên cứu học hỏi công nghệ mới, phát triển bản thân.Đọc viết tiếng Anh khá là một lợi thế."
1261,Ruby On Rails Developer (OpentoSwitch From NodeJs),https://www.topcv.vn/viec-lam/ruby-on-rails-developer-opentoswitch-from-nodejs/1254461.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Solazu,100-499 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Có ít nhất 3 năm kinh nghiệm làm việc với NodeJs hoặc PHP.Sẵn lòng và có đam mê học hỏi, chuyển đổi sang phát triển ứng dụng với Ruby on Rails.Có kiến thức về HTML, CSS, và JavaScript.Kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu như MySQL, PostgreSQL.Hiểu biết về RESTful APIs và web service integration.Có kinh nghiệm viết Unit TestTiếng Anh giao tiếp tốt là một lợi thế."
1262,UI/UX Designer (Fresher),https://www.topcv.vn/viec-lam/ui-ux-designer-fresher/299633.html?ta_source=ITJobs_LinkDetail,Công ty Cổ phần Vũ Gia Software VN,25-99 nhân viên,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Tốt nghiệp các trường/ khóa học thiết kế, các ngành đồ họa ứng dụng  - Sử dụng các phần mềm thiết kế : Figma,Sketch, Adobe Illustrator, Photoshop- Nắm vững quy trình thiết kế.-Có khả năng đọc và hiểu tài liệu yêu cầu về sản phẩm.-Có kinh nghiệm làm việc với các hệ thống quản lý công việc: trello, jira,.."
1263,ERP Business Analyst,https://www.topcv.vn/viec-lam/erp-business-analyst/1327583.html?ta_source=ITJobs_LinkDetail,Công ty TNHH Thu phí tự động VETC,500-1000 nhân viên,20 - 40 triệu,Hà Nội,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,"Yêu thích công việc phân tích nghiệp vụ, trao đổi với khách hàngKhả năng tư duy, đặt câu hỏi, triển khai các câu hỏi thành mô tả technicalCó hiểu biết cơ bản về cơ sở dữ liệu và hệ thống SQL Có kiến thức về các hệ thống ERP, đặc biệt là module Kế toánThành thạo hệ thống quản lý công việc JIRA & phương pháp AGILE Có kinh nghiệm triển khai ERP/Odoo"
1264,Project Manager Ngành IT,https://www.topcv.vn/viec-lam/project-manager-nganh-it/1327061.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH OHMIDAS VIỆT NAM,25-99 nhân viên,30 - 50 triệu,Hà Nội,Giám đốc,5 năm,Toàn thời gian,Nam,"・Tiếng Anh thành thạo・Kinh nghiệm quản lý: từ 5 năm trở lên (đã từng quản lý dự án từ 5-20 người)・Kinh nghiệm làm việc với dự án outsource thị trường Nhật bản và có tiếng Nhật là một điểm cộng・Ưu tiên ứng viên có PMP, PMI"
1265,IT Comtor,https://www.topcv.vn/viec-lam/it-comtor/1327115.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH OHMIDAS VIỆT NAM,25-99 nhân viên,10 - 25 triệu,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"・Từ 1 năm kinh nghiệm trở lên・Giao tiếp tiếng Nhật lưu loát, tự nhiên, trình độ N2 trở lên・Có kinh nghiệm meeting trực tiếp với khách hàng・Ưu tiên ứng viên có kinh nghiệm biên phiên dịch trong lĩnh vực IT・Ứng viên có kinh nghiệm học tập, làm việc tại Nhật hoặc đã từng làm việc tại công ty Nhật là một lợi thế・Nhanh nhẹn, năng động, tích cực trong công việc"
1266,Nhân Viên Chăm Sóc Khách Hàng,https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang/1237507.html?ta_source=ITJobs_LinkDetail,Công Ty Cổ Phần Công Nghệ ECRM,25-99 nhân viên,6 - 8 triệu,Nghệ An,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Nữ,"• Không yêu cầu kinh nghiệm, Chưa có kinh nghiệm sẽ được đào tạo, chăm chỉ, ham học hỏi • Sử dụng máy tính thành thạo, biết cài đặt 1 số phần mềm cơ bản. • Ưu tiên có kinh nghiệm IT SUPPORT, CSKH • Giọng nói dễ nghe • Chịu khó, chăm chỉ, nhiệt tình trong công việc • Nhanh nhẹn, hoạt bát, có laptop"
1267,Nhân Viên Chăm Sóc Khách Hàng- Yêu Cầu Tiếng Anh,https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang-yeu-cau-tieng-anh/1237522.html?ta_source=ITJobs_LinkDetail,Công Ty Cổ Phần Công Nghệ ECRM,25-99 nhân viên,6 - 8 triệu,Nghệ An,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"• TIẾNG ANH GIAO TIẾP TỐT• Không yêu cầu kinh nghiệm, Chưa có kinh nghiệm sẽ được đào tạo, chăm chỉ, ham học hỏi • Sử dụng máy tính thành thạo, biết cài đặt 1 số phần mềm cơ bản. • Ưu tiên có kinh nghiệm IT SUPPORT, CSKH • Giọng nói dễ nghe • Chịu khó, chăm chỉ, nhiệt tình trong công việc • Nhanh nhẹn, hoạt bát, có laptop"
1268,Business Analyst / Product Lead (Good English Com),https://www.topcv.vn/viec-lam/business-analyst-product-lead-good-english-com/1327522.html?ta_source=ITJobs_LinkDetail,Công ty TNHH Điểm sáng Công nghệ InvestIdea,25-99 nhân viên,Tới 30 triệu,Hà Nội,Trưởng nhóm,4 năm,Toàn thời gian,Không yêu cầu,"Level: Middle, Middle+Roadmap Business Analyst LeadA bachelor's degree in IT or a related field is preferredGood English communication and documentation are requiredHave skills in team/group management and work process managementFamiliar and good skills with BA tools (draw, Figma, lucid, etc) are requiredHas experience and knowledge of software development process, especially software requirement analysis is requiredHas experience and knowledge of software development process (Agile, Scrum) is a plusUnderstanding Data analysis is a plusFamiliar with task management tools such as JIRA, Trello, ... is requiredAble to work both independently and as part of a teamAble to train or coach team members about Analyst Skills.Personal skills: Teamwork, Willingness to learn, Proactive, Leadership"
1269,Android Kotlin Developer,https://www.topcv.vn/viec-lam/android-kotlin-developer/1325785.html?ta_source=ITJobs_LinkDetail,Ugotechs,10-24 nhân viên,10 - 25 triệu,Hồ Chí Minh,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"At least 1 year of experience working in Android app development using the Java/Kotlin language.Deep understanding of user interface design principles and user experience on the Android platform.Ability to work independently and in a team, with effective interaction and exchange of ideas.Passion for learning and researching new technologies, with the ability to self-learn and continuously update knowledge.Ability to read, understand, and write technical documentation in English"
1270,Full Stack Developer,https://www.topcv.vn/viec-lam/full-stack-developer/1327206.html?ta_source=ITJobs_LinkDetail,CÔNG TY TNHH GIANTY VIỆT NAM,100-499 nhân viên,Thoả thuận,Hồ Chí Minh,Nhân viên,5 năm,Toàn thời gian,Không yêu cầu,"What we are looking forBachelor's degree in Computer Science or a related fieldAt least 5 years of experience in both Front-end and Back-end coding environments, development frameworks, and librariesProven experience in using Java with J2EE or Spring frameworksProficient experience of HTML, CSS, Git, JavaScript with VueJS or ReactJS frameworksExperienced with cross-browser compatibility testingStrong Linux/Unix skillsProficient in at least one database management system such as Oracle, MySQLExperienced with AWS is a plusProven skills in creating high scalable system designs is a plus"
1271,Chuyên Viên Quản Trị Vận Hành Hệ Thống,https://www.topcv.vn/viec-lam/chuyen-vien-quan-tri-van-hanh-he-thong/1175758.html?ta_source=ITJobs_LinkDetail,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,500-1000 nhân viên,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Trình độ chuyên môn: tốt nghiệp đại học, chuyên nghành CNTT/Toán tin/Hệ thống thông tin quản lý/Công nghệ phần mềm;- Trình độ ngoại ngữ: có khả năng đọc & hiểu tài liệu tiếng Anh chuyên ngành kỹ thuật;- Tối thiểu 01 năm kinh nghiệm trong lĩnh vực CNTT tương đương- Sử dụng thành thạo các phần mềm tin học văn phòng: Word, Excel, PowerPoint, Project, Visio- Khả năng chịu áp lực và cường độ công việc lớn- Giao tiếp tốt, tuy duy hệ thống, khả năng ra quyết định- Có tính kỷ luật cao"
1272,Chuyên Viên Quản Trị Vận Hành Cơ Sở Dữ Liệu,https://www.topcv.vn/viec-lam/chuyen-vien-quan-tri-van-hanh-co-so-du-lieu/1175770.html?ta_source=ITJobs_LinkDetail,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,500-1000 nhân viên,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"- Trình độ chuyên môn: tốt nghiệp đại học, chuyên nghành CNTT/Toán tin/Hệ thống thông tin quản lý/Công nghệ phần mềm;- Trình độ ngoại ngữ: có khả năng đọc & hiểu tài liệu tiếng Anh chuyên ngành kỹ thuật;- Tối thiểu 01 năm kinh nghiệm trong lĩnh vực CNTT tương đương- Sử dụng thành thạo các phần mềm tin học văn phòng: Word, Excel, PowerPoint, Project, Visio- Khả năng chịu áp lực và cường độ công việc lớn- Giao tiếp tốt, tuy duy hệ thống, khả năng ra quyết định- Có tính kỷ luật cao"
1273,Chuyên Viên Dịch Vụ Tin Học Văn Phòng,https://www.topcv.vn/viec-lam/chuyen-vien-dich-vu-tin-hoc-van-phong/1228443.html?ta_source=ITJobs_LinkDetail,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,500-1000 nhân viên,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp Cao đẳng trở lên chuyên ngành 'Chuyên ngành CNTT/Điện tử viễn thông/Tin học ứng dụng/Tin học kinh tế/Toán-tinCó·​kiến thức phần cứng máy tính, thiết bị CNTTSử dụng thành thạo các phần mềm tin học văn phòngCó kiến thức phần mềm ứng dụng ngân hàng"
1274,Chuyên Viên Phát Triển Phần Mềm Ứng Dụng,https://www.topcv.vn/viec-lam/chuyen-vien-phat-trien-phan-mem-ung-dung/1228448.html?ta_source=ITJobs_LinkDetail,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,500-1000 nhân viên,Thoả thuận,Hà Nội,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,"Học vấn: Tốt nghiệp Đại học loại Khá trở lên các ngành CNTT/Toán tin/Hệ thống thông tin quản lý/Lập trình phần mềm.Tiếng Anh (nghe, nói, đọc, viết). Có khả năng đọc hiểu tiếng Anh chuyển ngành CNTT.Yêu cầu về kỹ năng:Kỹ năng làm việc độc lập và theo nhóm.Kỹ năng tìm kiếm và nghiên cứuKỹ năng thích ứng caoHam học hỏi, nhiệt tình, chịu được áp lực trong công việcCó kỹ năng giao tiếp, kinh nghiệm về trình bầy, thuyết trình và quản lý thời gianYêu thích các công việc có tính sáng tạo và nghiên cứu công nghệ mới, lĩnh vực mớiKinh nghiệm:Có kiến thức về lập trình hướng đối tượng.Có kinh nghiệm xây dựng các ứng dụng web trên nền Java, .NetCó hiểu biết về các nền tảng:Java Core, Spring Framework, Hibernate, Transaction Management, Struts, JSP/Servlet, JDBC, JavaScript, HTML, CSS, .NET, MVCCó hiểu biết và kinh nghiệm sử dụng Javascript, JSON, HTML5, CSS3.• Có hiểu biết về hệ quản trị CSDL Oracle, SQL Server.• Có kinh nghiệm làm các báo cáo trên nền Crystal Report, SAP. Có kinh nghiệm xây dựng báo cáo tài chính, turning báo cáo là một lợi thế.Có kinh nghiệm trong lĩnh vực CNTT, Phân tích yêu cầu nghiệp vụ là một lợi thế.Có kinh nghiệm về lĩnh vực nghiên cứu, triển khai các giải pháp CNTT trong lĩnh vực tài chính/ngân hàng là một lợi thếCó kinh nghiệm về hệ điều hành Unix, Linux, AIX là một lợi thế.Ứng viên có kinh nghiệm về thiết kế website, thành thạo Photoshop là một lợi thế.Ứng viên có khả năng giao tiếp tốt bằng tiếng Anh là một lợi thế.Tính cách:Tự tin, nhiệt tình, hòa đồng"
1275,Chuyên Viên Quản Lý Chính Sách Và Tuân Thủ - CNTT,https://www.topcv.vn/viec-lam/chuyen-vien-quan-ly-chinh-sach-va-tuan-thu-cntt/1234066.html?ta_source=ITJobs_LinkDetail,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,500-1000 nhân viên,Thoả thuận,Hà Nội,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp Đại học chuyên ngành CNTT/Điện tử Viễn thôngCó kiến thức cơ bản về An toàn thông tin.Nhanh nhẹn, chịu khó học hỏi.Kỹ năng giao tiếp, thuyết trình và đàm phán tốt.Kỹ năng tin học văn phòng và lập báo cáo thống kê tốtCó khả năng thuyết trình và đào tạo.Có khả năng chịu được áp lực và cường độ công việc cao. Cẩn trọng, tỉ mỉ và có trách nhiệm với công việc. Tiếng Anh chuyên ngành tốt.Có kinh nghiệm triển khai, duy trì hệ thống quản lý an ninh thông tin theo ISO 27001.Có kinh nghiệm triển khai đánh giá tăng trưởng và cải tiến quy trình (VD theo phương pháp CMMI SVC, ISO 15000)Từng làm việc tại các Ngân hàng hoặc các tổ chức tài chính liên quan đến quản lý rủi ro hoạt động CNTT và kiểm toán CNTT là một lợi thếƯu tiên các ứng viên có chứng chỉ Auditor liên quan đến CNTT, hoặc có các chứng chỉ liên quan đến ISO 27001, ISO20000, ITIL, CMMI, COBIT."
1276,Quản Trị Dự Án CNTT,https://www.topcv.vn/viec-lam/quan-tri-du-an-cntt/1243570.html?ta_source=ITJobs_LinkDetail,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,500-1000 nhân viên,Thoả thuận,Hà Nội,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,"Trình độ chuyên môn: Tốt nghiệp đại học trở lên Chuyên ngành Kinh tế/Tài chính/Ngân hàng/CNTT;Ưu tiên có chứng chỉ QTDA chuyên nghiệpKiến thức chuyên môn:Kiến trúc, tổng quan nghiệp vụ ngân hàng/ Quản trị doanh nghiệp/ Giải pháp, hệ thống CNTTCác công cụ Quản trị dự án, triển khai dự ánHiểu biết Quy trình mua sắm, đấu thầu, đầu tưHiểu biết về Quy trình triển khai dự án/ yêu cầu thay đổi CNTT trong Ngân hàng;Kinh nghiệm:Có kinh nghiệm triển khai các dự án của Ngân hàng/ các doanh nghiệp lớn.Có kinh nghiệm là Quản trị dự án/ trưởng nhóm nghiệp vụ/ trưởng nhóm kỹ thuật cho những dự án CNTT/ ngân hàng.Có kinh nghiệm trong quá trình đào tạo, triển khai các công tác chuyển đổiKỹ năng:Kỹ năng hoạch định và lập kế hoạchKỹ năng Quản lý thời gianKỹ năng Giao tiếp & xử lý vấn đềKỹ năng xây dựng đội ngũKỹ năng tổng hợp số liệu và báo cáoKỹ năng trình bày, thuyết trìnhYêu cầu khác:Tiếng Anh giao tiếp tốtThành thạo tin học văn phòng"
1277,Kiến Trúc Hệ Thống,https://www.topcv.vn/viec-lam/kien-truc-he-thong/1270362.html?ta_source=ITJobs_LinkDetail,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN - HÀ NỘI,500-1000 nhân viên,Thoả thuận,Hà Nội,Nhân viên,Trên 5 năm,Toàn thời gian,Không yêu cầu,"Tốt nghiệp từ Đại học trở lên, chuyên nghành CNTT/ĐTVT hoặc các Chuyên ngành tương đương;Trình độ ngoại ngữ: có khả năng đọc & hiểu tốt tài liệu tiếng Anh chuyên ngành kỹ thuật;Có kinh nghiệm triển khai một trong các dự án về hạ tầng CNTT (bao gồm hệ thống CSDL, máy chủ, thiết bị lưu trữ,...) của 01 tổ chức hoạt động trong lĩnh vực Ngân hàng/Tài chính với vai trò Tổ trưởng trở lên.Có tối thiểu 08 năm kinh nghiệm chuyên môn mảng Quản trị Vận hành Hệ thống tại các tổ chức hoạt động trong lĩnh vực Ngân hàng/Tài chính.Có kinh nghiệm vận hành và triển khai hệ thống máy chủ, thiết bị lưu trữ của các hãng HP, IBM, EMC,...Thành thạo trong việc cấu hình cài đặt trên môi trường Linux,Windows Server, ..."
