Salary,Level,Year of Experience,Contract Type,Sex,Programming Language,Language,Location
25000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,c,Không yêu cầu,Hà Nội
25000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,java,Không yêu cầu,Hà Nội
16000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,c#,Không yêu cầu,Hà Nội
27600000.0,Nhân viên,2 năm,Toàn thời gian,Nữ,Khác,tiếng anh,Hà Nội
8000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Khác
42500000.0,Trưởng nhóm,Trên 5 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
11500000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
40000000.0,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
29900000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,javascript,tiếng anh,Hà Nội
29900000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,java,tiếng anh,Hà Nội
12500000.0,Nhân viên,1 năm,Toàn thời gian,Nam,Khác,tiếng anh,Hà Nội
17500000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
12000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,javascript,Không yêu cầu,Hà Nội
40250000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hồ Chí Minh
24000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,javascript,tiếng anh,Hà Nội
24000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,python,tiếng anh,Hà Nội
34000000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
30000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,javascript,tiếng anh,Hà Nội
30000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,javascript,tiếng nhật,Hà Nội
30000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,php,tiếng anh,Hà Nội
30000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,php,tiếng nhật,Hà Nội
12000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,javascript,Không yêu cầu,Hà Nội
20000000.0,Trưởng/Phó phòng,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
15000000.0,Nhân viên,2 năm,Toàn thời gian,Nam,php,Không yêu cầu,Hồ Chí Minh
15000000.0,Nhân viên,2 năm,Toàn thời gian,Nam,java,Không yêu cầu,Hồ Chí Minh
10500000.0,Nhân viên,1 năm,Toàn thời gian,Nam,Khác,Không yêu cầu,Hà Nội
42550000.0,Trưởng/Phó phòng,3 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
30000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
42550000.0,Nhân viên,3 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
9000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
42550000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,c,Không yêu cầu,Hà Nội
30000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,typescript,Không yêu cầu,Hà Nội
30000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
21500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
17500000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
35000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
12500000.0,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
15000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,kotlin,Không yêu cầu,Hà Nội
15000000.0,Nhân viên,1 năm,Toàn thời gian,Không yêu cầu,java,Không yêu cầu,Hà Nội
35000000.0,Nhân viên,2 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
35000000.0,Nhân viên,4 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
7500000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
7500000.0,Nhân viên,Dưới 1 năm,Toàn thời gian,Không yêu cầu,Khác,tiếng anh,Hà Nội
9500000.0,Nhân viên,1 năm,Toàn thời gian,Nam,Khác,Không yêu cầu,Hà Nội
11000000.0,Nhân viên,Không yêu cầu kinh nghiệm,Toàn thời gian,Không yêu cầu,Khác,Không yêu cầu,Hà Nội
